,delito,localidad,latitud,longitud,anio,mes,dia
157,"ROBBERY,CAR JACKING",BRONX,40.831646,-73.931814,2022,5,12
158,"ROBBERY,CAR JACKING",BRONX,40.828701,-73.877767,2022,5,6
159,"ROBBERY,CAR JACKING",BROOKLYN,40.660389,-73.917802,2022,5,11
160,"ROBBERY,CAR JACKING",QUEENS,40.755273,-73.926953,2022,5,10
161,"ROBBERY,CAR JACKING",MANHATTAN,40.711313,-73.989023,2022,5,14
162,"ROBBERY,CAR JACKING",QUEENS,40.7694951184418,-73.9150241703895,2022,5,15
163,"ROBBERY,CAR JACKING",QUEENS,40.7434812638841,-73.8740035373971,2022,5,18
164,"ROBBERY,CAR JACKING",BRONX,40.8694704770483,-73.8798608037303,2022,5,13
165,"ROBBERY,CAR JACKING",QUEENS,40.738043,-73.880469,2022,5,17
166,"ROBBERY,CAR JACKING",MANHATTAN,40.76437,-73.964527,2022,5,14
167,"ROBBERY,CAR JACKING",BROOKLYN,40.5940190586592,-73.9608543158447,2022,5,17
168,"ROBBERY,CAR JACKING",MANHATTAN,40.8407811088581,-73.9362453818218,2022,5,13
169,"ROBBERY,CAR JACKING",BRONX,40.817486,-73.910376,2022,5,17
170,"ROBBERY,CAR JACKING",QUEENS,40.69473,-73.754301,2022,5,13
171,"ROBBERY,CAR JACKING",QUEENS,40.7434812638841,-73.8740035373971,2022,5,16
172,"ROBBERY,CAR JACKING",QUEENS,40.692648,-73.856869,2022,5,14
173,"ROBBERY,CAR JACKING",QUEENS,40.751213,-73.938888,2022,5,18
174,"ROBBERY,CAR JACKING",BRONX,40.81493,-73.918157,2022,5,17
175,"ROBBERY,CAR JACKING",BROOKLYN,40.68900139556,-73.9450265328727,2022,5,20
176,"ROBBERY,CAR JACKING",QUEENS,40.7072398161698,-73.7927267255908,2022,5,13
177,"ROBBERY,CAR JACKING",QUEENS,40.69932415739,-73.831570887672,2022,5,13
178,"ROBBERY,CAR JACKING",BRONX,40.823877,-73.844427,2022,5,28
179,"ROBBERY,CAR JACKING",BRONX,40.812515,-73.921193,2022,5,27
180,"ROBBERY,CAR JACKING",BROOKLYN,40.583214,-73.952972,2022,5,28
181,"ROBBERY,CAR JACKING",QUEENS,40.73349726,-73.87036942,2022,5,24
182,"ROBBERY,CAR JACKING",QUEENS,40.688877,-73.804201,2022,5,28
183,"ROBBERY,CAR JACKING",QUEENS,40.685978,-73.804797,2022,5,26
184,"ROBBERY,CAR JACKING",QUEENS,40.70256699,-73.79055424,2022,5,25
185,"ROBBERY,CAR JACKING",BROOKLYN,40.675909,-73.863451,2022,5,23
186,"ROBBERY,CAR JACKING",QUEENS,40.690048,-73.798104,2022,5,26
187,"ROBBERY,CAR JACKING",MANHATTAN,40.848885,-73.934855,2022,5,28
188,"ROBBERY,CAR JACKING",BROOKLYN,40.64437172,-73.93060484,2022,5,26
189,"ROBBERY,CAR JACKING",QUEENS,40.765838,-73.727581,2022,5,27
190,"ROBBERY,CAR JACKING",MANHATTAN,40.745253,-73.977003,2022,5,25
191,"ROBBERY,CAR JACKING",BROOKLYN,40.658397,-73.891037,2022,5,26
192,"ROBBERY,CAR JACKING",QUEENS,40.679848,-73.85965,2022,5,21
193,"ROBBERY,CAR JACKING",BRONX,40.822031,-73.891729,2022,5,26
194,"ROBBERY,CAR JACKING",BROOKLYN,40.672777,-73.866472,2022,5,28
195,"ROBBERY,CAR JACKING",BROOKLYN,40.672657,-73.927971,2022,5,28
196,"ROBBERY,CAR JACKING",QUEENS,40.686009,-73.766457,2022,6,2
197,"ROBBERY,CAR JACKING",BRONX,40.837603,-73.889368,2022,6,1
198,"ROBBERY,CAR JACKING",BROOKLYN,40.678694,-73.956882,2022,5,30
199,"ROBBERY,CAR JACKING",BRONX,40.82135944,-73.88910526,2022,6,4
200,"ROBBERY,CAR JACKING",BRONX,40.88159915,-73.8296431,2022,5,29
201,"ROBBERY,CAR JACKING",QUEENS,40.669711,-73.781639,2022,6,1
202,"ROBBERY,CAR JACKING",BRONX,40.83308,-73.916305,2022,5,31
203,"ROBBERY,CAR JACKING",BRONX,40.888619,-73.833828,2022,5,30
204,"ROBBERY,CAR JACKING",MANHATTAN,40.862087,-73.925057,2022,5,30
205,"ROBBERY,CAR JACKING",BRONX,40.869104,-73.823835,2022,5,30
206,"ROBBERY,CAR JACKING",QUEENS,40.70947353,-73.80501094,2022,6,13
207,"ROBBERY,CAR JACKING",BRONX,40.814065,-73.881506,2022,6,8
208,"ROBBERY,CAR JACKING",QUEENS,40.68016522,-73.84094499,2022,6,6
209,"ROBBERY,CAR JACKING",QUEENS,40.689591,-73.859796,2022,6,6
210,"ROBBERY,CAR JACKING",QUEENS,40.664276,-73.771882,2022,6,8
211,"ROBBERY,CAR JACKING",QUEENS,40.74425178,-73.90140987,2022,6,8
212,"ROBBERY,CAR JACKING",QUEENS,40.71200134,-73.82545585,2022,6,7
213,"ROBBERY,CAR JACKING",STATEN ISLAND,40.635685,-74.134992,2022,6,12
214,"ROBBERY,CAR JACKING",BROOKLYN,40.655149,-73.95463,2022,6,14
215,"ROBBERY,CAR JACKING",MANHATTAN,40.845183,-73.934933,2022,6,17
216,"ROBBERY,CAR JACKING",BRONX,40.852391,-73.889215,2022,6,21
217,"ROBBERY,CAR JACKING",STATEN ISLAND,40.566222,-74.114033,2022,6,17
218,"ROBBERY,CAR JACKING",QUEENS,40.768831,-73.898967,2022,6,16
219,"ROBBERY,CAR JACKING",MANHATTAN,40.79668091,-73.93491373,2022,6,20
220,"ROBBERY,CAR JACKING",QUEENS,40.757451,-73.919132,2022,6,14
221,"ROBBERY,CAR JACKING",BRONX,40.858984,-73.88087,2022,6,19
222,"ROBBERY,CAR JACKING",STATEN ISLAND,40.566793,-74.113458,2022,6,17
223,"ROBBERY,CAR JACKING",BRONX,40.830119,-73.864523,2022,6,25
224,"ROBBERY,CAR JACKING",MANHATTAN,40.79726033,-73.94051856,2022,6,23
225,"ROBBERY,CAR JACKING",BROOKLYN,40.591999,-73.992837,2022,6,23
226,"ROBBERY,CAR JACKING",BROOKLYN,40.688519,-73.972907,2022,6,27
227,"ROBBERY,CAR JACKING",QUEENS,40.667038,-73.7736,2022,6,24
228,"ROBBERY,CAR JACKING",BRONX,40.88615,-73.863072,2022,6,26
229,"ROBBERY,CAR JACKING",BRONX,40.827627,-73.892918,2022,6,28
230,"ROBBERY,CAR JACKING",BROOKLYN,40.690037,-73.991109,2022,6,27
231,"ROBBERY,CAR JACKING",QUEENS,40.710955,-73.811471,2022,6,29
232,"ROBBERY,CAR JACKING",MANHATTAN,40.827693,-73.942643,2022,6,25
233,"ROBBERY,CAR JACKING",QUEENS,40.76770099,-73.77923021,2022,6,22
234,"ROBBERY,CAR JACKING",QUEENS,40.69410969,-73.8973622,2022,6,24
235,"ROBBERY,CAR JACKING",BROOKLYN,40.6902236041959,-73.9602785860011,2022,6,28
236,"ROBBERY,CAR JACKING",BRONX,40.828228,-73.906663,2022,6,26
237,"ROBBERY,CAR JACKING",BRONX,40.8660891,-73.88267469,2022,6,23
238,"ROBBERY,CAR JACKING",QUEENS,40.662551,-73.746892,2022,6,24
239,"ROBBERY,CAR JACKING",STATEN ISLAND,40.53711697,-74.16700358,2022,6,28
240,"ROBBERY,CAR JACKING",BRONX,40.829355,-73.914355,2022,6,26
241,"ROBBERY,CAR JACKING",MANHATTAN,40.84770964,-73.93797585,2022,6,30
